"","name","E1","E2","pvals","strain","pvals_corrected","pvals_corrected_overall"
"705","log","Zn","Co",0.017676996474236,"znbm_28",0.0427194081460704,0.038567992307424
"706","log","Zn","Co",0.00246008356723702,"znbm_29",0.0089178029312342,0.00679759933052334
"707","log","Zn","Co",0.671026703492899,"znbm_31",0.748452861588233,0.790550394016879
"708","log","Zn","Co",0.00185918399541823,"znbm_32",0.0089178029312342,0.00527606268970038
"709","log","Zn","Co",0.383256711186782,"znbm_34",0.529259267829366,0.529678899209274
"710","log","Zn","Co",0.447090253919323,"znbm_37",0.56372249407219,0.592359326959356
"711","log","Zn","Co",0.000109067647823179,"znbm_38",0.00105432059562406,0.000393205253954808
"712","log","Zn","Co",0.933685456921042,"znbm_39",0.933685456921042,0.954131123860919
"713","log","Zn","Co",0.831024049004419,"znbm_41",0.860703479326005,0.890661285834762
"714","log","Zn","Co",3.42562478359292e-06,"znbm_42",4.96715593620973e-05,1.65374989552761e-05
"715","log","Zn","Co",0.0157601402776107,"znbm_43",0.0415494607318828,0.0349301262089525
"716","log","Zn","Co",0.00242981826594588,"znbm_44",0.0089178029312342,0.00675843491190244
"717","log","Zn","Co",0.26902211726216,"znbm_45",0.410612705294875,0.399962085841087
"718","log","Zn","Co",0.513165178360217,"znbm_46",0.620074590518595,0.661133051875126
"719","log","Zn","Co",0.0581963573686294,"znbm_47",0.120549597406447,0.108392328580152
"720","log","Zn","Co",0.244622081811615,"znbm_5",0.394113354029824,0.369572929355677
"721","log","Zn","Co",0.29522890958409,"znbm_6",0.42808191889693,0.429052394551272
"722","log","Zn","Co",0.440439438390269,"znbm_7",0.56372249407219,0.586321914814304
"723","log","Zn","Co",0.148391094730797,"znbm_8",0.253137749834888,0.242506847419979
"724","log","Zn","Co",0.547733496964229,"znbm_9",0.635370856478506,0.689705902036737
"725","log","Zn","Cu",9.48724305955713e-11,"znbm_11",5.50260097454314e-10,1.03497197013351e-09
"726","log","Zn","Cu",0.937108537169966,"znbm_12",0.97057669921175,0.956465578642492
"727","log","Zn","Cu",7.77878715371586e-12,"znbm_15",2.2558482745776e-10,1.03717162049545e-10
"728","log","Zn","Cu",0.974405813580129,"znbm_16",0.974405813580129,0.981415927346893
"729","log","Zn","Cu",1.75036492883097e-07,"znbm_17",3.9046602258537e-07,1.08911595571705e-06
"730","log","Zn","Cu",0.890788490708971,"znbm_19",0.97057669921175,0.922757707952866
"731","log","Zn","Cu",0.881584107945706,"znbm_22",0.97057669921175,0.917953452822789
"732","log","Zn","Cu",1.83652081182477e-11,"znbm_23",2.66295517714592e-10,2.23576446656929e-10
"733","log","Zn","Cu",0.00042752661737423,"znbm_25",0.000688792883547371,0.00138657281310561
"734","log","Zn","Cu",0.767449427660753,"znbm_28",0.96765362618095,0.848313910108988
"735","log","Zn","Cu",4.66727373948985e-11,"znbm_29",3.38377346113014e-10,5.29798640698848e-10
"736","log","Zn","Cu",4.34432094652584e-11,"znbm_31",3.38377346113014e-10,4.99894465079686e-10
"737","log","Zn","Cu",9.82950632632052e-09,"znbm_32",3.16728537181439e-08,7.43854532802634e-08
"738","log","Zn","Cu",1.54022791083083e-07,"znbm_34",3.72221745117451e-07,9.95224188536846e-07
"739","log","Zn","Cu",2.07768897758371e-07,"znbm_37",4.30378431070912e-07,1.25558182818009e-06
"740","log","Zn","Cu",9.69134704429762e-07,"znbm_38",1.87366042856421e-06,5.21841763923718e-06
"741","log","Zn","Cu",2.09883106558877e-08,"znbm_39",6.08661009020743e-08,1.51984318542635e-07
"742","log","Zn","Cu",7.6977733538598e-09,"znbm_41",2.79044284077418e-08,5.87829965203839e-08
"743","log","Zn","Cu",0.270883018897417,"znbm_42",0.374076549905956,0.401256956230219
"744","log","Zn","Cu",6.44027676592661e-10,"znbm_43",3.11280043686453e-09,6.0109249815315e-09
"745","log","Zn","Cu",0.880057123954575,"znbm_44",0.97057669921175,0.917953452822789
"746","log","Zn","Cu",0.00014847661970473,"znbm_45",0.000253283645378657,0.000521842512769763
"747","log","Zn","Cu",0.361271820511642,"znbm_46",0.476221945219892,0.504100214667407
"748","log","Zn","Cu",0.00848928123688487,"znbm_47",0.0129573239931401,0.0202011224900377
"749","log","Zn","Cu",7.79482435850161e-08,"znbm_5",2.05499914905952e-07,5.28036488801722e-07
"750","log","Zn","Cu",8.22466451565852e-10,"znbm_6",3.40736101362996e-09,7.42872923994963e-09
"751","log","Zn","Cu",3.99181349010392e-06,"znbm_7",7.23516195081335e-06,1.88377715263331e-05
"752","log","Zn","Cu",0.907554346354771,"znbm_8",0.97057669921175,0.935393436733752
