strain,E1,E2,anc_slope,avg_slope,relfit1
cdbm_46,Cd,Zn,0.020141181159930934,0.0102650980567572,-0.009876083103173734
cdbm_47,Cd,.YPAD,0.25524757384878666,0.25402957107290025,-0.0012180027758864065
cdbm_47,Cd,Cd,0.01895355052072835,0.148170206106836,0.12921665558610768
cdbm_47,Cd,Co,0.024788894353866546,0.0384516943369162,0.013662799983049652
cdbm_47,Cd,Cu,0.008643785839868025,0.10612812594984468,0.09748434010997666
cdbm_47,Cd,Mn,0.01977103815109517,0.18260502092637398,0.16283398277527883
cdbm_47,Cd,Ni,0.02142069074895225,0.03213318146566557,0.010712490716713322
cdbm_47,Cd,Zn,0.020141181159930934,0.08608835324053193,0.065947172080601
cdbm_48,Cd,.YPAD,0.25524757384878666,0.19035663516991924,-0.06489093867886742
cdbm_48,Cd,Cd,0.01895355052072835,0.1543258095829115,0.13537225906218314
cdbm_48,Cd,Co,0.024788894353866546,0.03937425235127355,0.014585357997407004
cdbm_48,Cd,Cu,0.008643785839868025,0.019571527423711824,0.0109277415838438
cdbm_48,Cd,Mn,0.01977103815109517,0.18947016784572024,0.16969912969462508
cdbm_48,Cd,Ni,0.02142069074895225,0.03111573072533955,0.0096950399763873
cdbm_48,Cd,Zn,0.020141181159930934,0.06135522423941772,0.041214043079486784
cobm_1,Co,.YPAD,0.25524757384878666,0.1030674231264524,-0.15218015072233426
cobm_1,Co,Cd,0.01895355052072835,0.1079423658373324,0.08898881531660405
cobm_1,Co,Co,0.024788894353866546,0.03901001117551092,0.014221116821644376
cobm_1,Co,Cu,0.008643785839868025,0.019961402908386102,0.011317617068518077
cobm_1,Co,Mn,0.01977103815109517,0.10519869049901978,0.08542765234792461
cobm_1,Co,Ni,0.02142069074895225,0.09057818024862943,0.06915748949967718
cobm_1,Co,Zn,0.020141181159930934,0.11167650163183128,0.09153532047190034
cobm_12,Co,.YPAD,0.25524757384878666,0.202936196928849,-0.05231137691993765
cobm_12,Co,Cd,0.01895355052072835,0.0288829538369617,0.009929403316233352
cobm_12,Co,Co,0.024788894353866546,0.04440786790932405,0.019618973555457504
cobm_12,Co,Cu,0.008643785839868025,0.044796025144844244,0.03615223930497622
cobm_12,Co,Mn,0.01977103815109517,0.15249050912408102,0.13271947097298586
cobm_12,Co,Ni,0.02142069074895225,0.0261263577744364,0.00470566702548415
cobm_12,Co,Zn,0.020141181159930934,0.0063028457453206945,-0.013838335414610239
cobm_14,Co,.YPAD,0.25524757384878666,0.16241808358449775,-0.09282949026428891
cobm_14,Co,Cd,0.01895355052072835,0.0266104487278707,0.007656898207142351
cobm_14,Co,Co,0.024788894353866546,0.017613529230964254,-0.007175365122902292
cobm_14,Co,Cu,0.008643785839868025,0.01312967305711067,0.004485887217242645
cobm_14,Co,Mn,0.01977103815109517,0.091292535580693,0.07152149742959783
cobm_14,Co,Ni,0.02142069074895225,0.07219313714612603,0.05077244639717378
cobm_14,Co,Zn,0.020141181159930934,0.01791389879490789,-0.0022272823650230436
cobm_15,Co,.YPAD,0.25524757384878666,0.19805479191115075,-0.05719278193763591
cobm_15,Co,Cd,0.01895355052072835,0.04830109816555962,0.029347547644831273
cobm_15,Co,Co,0.024788894353866546,0.03494858943353665,0.010159695079670107
cobm_15,Co,Cu,0.008643785839868025,0.11699037909262955,0.10834659325276152
cobm_15,Co,Mn,0.01977103815109517,0.0669888032156507,0.047217765064555536
cobm_15,Co,Ni,0.02142069074895225,0.08295048558731855,0.06152979483836629
cobm_15,Co,Zn,0.020141181159930934,0.002872591015057325,-0.01726859014487361
cobm_16,Co,.YPAD,0.25524757384878666,0.1503859643134375,-0.10486160953534915
cobm_16,Co,Cd,0.01895355052072835,0.07957347695156797,0.06061992643083962
cobm_16,Co,Co,0.024788894353866546,0.0299531763253702,0.005164281971503655
cobm_16,Co,Cu,0.008643785839868025,0.010646699902250315,0.00200291406238229
cobm_16,Co,Mn,0.01977103815109517,0.0639289164910961,0.04415787834000093
cobm_16,Co,Ni,0.02142069074895225,0.09015258258249233,0.06873189183354007
cobm_16,Co,Zn,0.020141181159930934,0.023355192731629636,0.0032140115716987015
cobm_17,Co,.YPAD,0.25524757384878666,0.183293811104046,-0.07195376274474066
cobm_17,Co,Cd,0.01895355052072835,0.17039013716427226,0.15143658664354392
cobm_17,Co,Co,0.024788894353866546,0.016937713315234852,-0.007851181038631694
cobm_17,Co,Cu,0.008643785839868025,0.026902853299259875,0.018259067459391848
cobm_17,Co,Mn,0.01977103815109517,0.1109765740137105,0.09120553586261533
cobm_17,Co,Ni,0.02142069074895225,0.07055609492767614,0.04913540417872389
cobm_17,Co,Zn,0.020141181159930934,0.008775866703706697,-0.011365314456224237
cobm_18,Co,.YPAD,0.25524757384878666,0.14166547081043152,-0.11358210303835514
cobm_18,Co,Cd,0.01895355052072835,0.01701643661256025,-0.0019371139081681005
cobm_18,Co,Co,0.024788894353866546,0.05783902795597483,0.03305013360210828
cobm_18,Co,Cu,0.008643785839868025,0.06999696221393628,0.06135317637406826
cobm_18,Co,Mn,0.01977103815109517,0.1251866303036975,0.10541559215260234
cobm_18,Co,Ni,0.02142069074895225,0.0589189537242296,0.03749826297527735
cobm_18,Co,Zn,0.020141181159930934,0.0244580818542506,0.004316900694319666
cobm_2,Co,.YPAD,0.25524757384878666,0.195338069063772,-0.05990950478501467
cobm_2,Co,Cd,0.01895355052072835,0.08079524990364792,0.06184169938291957
cobm_2,Co,Co,0.024788894353866546,0.0506419515586276,0.025853057204761054
cobm_2,Co,Cu,0.008643785839868025,0.111122037985134,0.10247825214526597
cobm_2,Co,Mn,0.01977103815109517,0.137717165925773,0.11794612777467782
cobm_2,Co,Ni,0.02142069074895225,0.08640229017184427,0.06498159942289201
cobm_2,Co,Zn,0.020141181159930934,0.025994513571288732,0.005853332411357798
cobm_20,Co,.YPAD,0.25524757384878666,0.1863251014685985,-0.06892247238018817
cobm_20,Co,Cd,0.01895355052072835,0.0704687635480484,0.05151521302732005
cobm_20,Co,Co,0.024788894353866546,0.031134624471166703,0.0063457301173001565
cobm_20,Co,Cu,0.008643785839868025,0.01991811199031355,0.011274326150445524
cobm_20,Co,Mn,0.01977103815109517,0.2082876312287095,0.18851659307761431
cobm_20,Co,Ni,0.02142069074895225,0.0894005859432279,0.06797989519427565
cobm_20,Co,Zn,0.020141181159930934,0.0039509218748475395,-0.016190259285083393
cobm_21,Co,.YPAD,0.25524757384878666,0.15721896176601474,-0.09802861208277192
cobm_21,Co,Cd,0.01895355052072835,0.02375407661681095,0.0048005260960826
cobm_21,Co,Co,0.024788894353866546,0.03290150823315185,0.008112613879285302
cobm_21,Co,Cu,0.008643785839868025,0.01247634274503806,0.0038325569051700353
cobm_21,Co,Mn,0.01977103815109517,0.0764396452329619,0.05666860708186673
cobm_21,Co,Ni,0.02142069074895225,0.014997686959006289,-0.006423003789945961
cobm_21,Co,Zn,0.020141181159930934,0.011289736245867491,-0.008851444914063443
cobm_3,Co,.YPAD,0.25524757384878666,0.19502809721697023,-0.060219476631816427
cobm_3,Co,Cd,0.01895355052072835,0.15001057305646925,0.13105702253574092
cobm_3,Co,Co,0.024788894353866546,0.05182354095717433,0.02703464660330778
cobm_3,Co,Cu,0.008643785839868025,0.040840733637563076,0.03219694779769505
cobm_3,Co,Mn,0.01977103815109517,0.14489060851108335,0.12511957035998816
cobm_3,Co,Ni,0.02142069074895225,0.0934355508874543,0.07201486013850204
cobm_3,Co,Zn,0.020141181159930934,0.011409108905772543,-0.008732072254158391
cobm_4,Co,.YPAD,0.25524757384878666,0.1993078009167315,-0.055939772932055154
cobm_4,Co,Cd,0.01895355052072835,0.0448967912194953,0.025943240698766953
cobm_4,Co,Co,0.024788894353866546,0.04293419349765677,0.018145299143790226
cobm_4,Co,Cu,0.008643785839868025,0.015911568868043374,0.007267783028175349
cobm_4,Co,Mn,0.01977103815109517,0.0787869341415761,0.05901589599048093
cobm_4,Co,Ni,0.02142069074895225,0.08658305226394428,0.06516236151499202
cobm_4,Co,Zn,0.020141181159930934,0.015587244858727999,-0.004553936301202936
cobm_5,Co,.YPAD,0.25524757384878666,0.19622971032737274,-0.059017863521413916
cobm_5,Co,Cd,0.01895355052072835,0.0351669350640016,0.01621338454327325
cobm_5,Co,Co,0.024788894353866546,0.05337121877502238,0.02858232442115583
cobm_5,Co,Cu,0.008643785839868025,0.15264001840056823,0.1439962325607002
cobm_5,Co,Mn,0.01977103815109517,0.17409155376180124,0.1543205156107061
cobm_5,Co,Ni,0.02142069074895225,0.08638253141800963,0.06496184066905737
cobm_5,Co,Zn,0.020141181159930934,0.011150784362534687,-0.008990396797396247
