X1,strain,conc,day,Mean,SD,avg_ypad_day,batch,r_anc,rel_fit
611,CBM25,MN1,20210721BIO2,0.0961162833268414,0.00297004896232703,0.253251431934701,0.0994768540697058,0.0419090194436755,0.0575678346260303
612,CBM20,MN2,20210721BIO2,0.117307494755063,0.00107748278571539,0.253251431934701,0.120668065497927,0.0151554721883329,0.105512593309594
613,CBM44h,MN2,20210721BIO2,0.0976713920649204,0.0099440982696114,0.253251431934701,0.101031962807785,0.0151554721883329,0.0858764906194519
614,OLY008,MN1,20210721BIO2,0.0419090194436755,0.00190988713048957,0.253251431934701,0.0452695901865399,0.0419090194436755,0.00336057074286439
615,CBM11,MN1,20210721BIO2,0.21874774370582,0.00363994676683477,0.253251431934701,0.222108314448684,0.0419090194436755,0.180199295005009
616,CBM36,YPAD,20210721BIO2,0.264790379632991,0.0131996622970391,0.253251431934701,0.268150950375855,0.272252223050353,-0.00410127267449767
617,CBM55,MN2,20210721BIO2,0.0947763549548804,0.0124586042098765,0.253251431934701,0.0981369256977448,0.0151554721883329,0.0829814535094119
618,CBM24,MN1,20210721BIO2,0.146218542679266,0.00714201578831388,0.253251431934701,0.149579113422131,0.0419090194436755,0.107670093978455
619,CBM13,MN2,20210721BIO2,0.101844864367854,0.00372544313188348,0.253251431934701,0.105205435110719,0.0151554721883329,0.0900499629223856
620,CBM54,MN1,20210721BIO2,0.0936746532879488,0.00220283529017209,0.253251431934701,0.0970352240308132,0.0419090194436755,0.0551262045871377
621,CBM45,MN2,20210721BIO2,0.101228768378814,0.00265804650228013,0.253251431934701,0.104589339121678,0.0151554721883329,0.0894338669333452
622,CBM36,MN2,20210721BIO2,0.100540705163151,0.00191063277735177,0.253251431934701,0.103901275906015,0.0151554721883329,0.0887458037176824
623,CBM20,YPAD,20210721BIO2,0.272821448368028,0.0108985034057265,0.253251431934701,0.276182019110892,0.272252223050353,0.00392979606053945
624,OLY008,MN2,20210721BIO2,0.0151554721883329,0.0172643689972852,0.253251431934701,0.0185160429311973,0.0151554721883329,0.00336057074286439
625,CBM16,MN2,20210721BIO2,0.136582740996779,0.00438570615492885,0.253251431934701,0.139943311739643,0.0151554721883329,0.12478783955131
626,CBM14,MN1,20210721BIO2,0.160132916710021,0.0123094555393873,0.253251431934701,0.163493487452885,0.0419090194436755,0.12158446800921
627,CBM26,YPAD,20210721BIO2,0.243076022494816,0.0638908659059605,0.253251431934701,0.246436593237681,0.272252223050353,-0.0258156298126719
628,CBM37,MN1,20210721BIO2,0.198946628293672,0.0120381205619098,0.253251431934701,0.202307199036537,0.0419090194436755,0.160398179592861
629,CBM33,MN1,20210721BIO2,0.212798009269211,0.00174814290273155,0.253251431934701,0.216158580012075,0.0419090194436755,0.174249560568399
630,CBM3,MN1,20210721BIO2,0.133550901741201,0.0178909377654875,0.253251431934701,0.136911472484065,0.0419090194436755,0.0950024530403899
631,CBM30,MN1,20210721BIO2,0.142268444142113,0.00867717490549582,0.253251431934701,0.145629014884977,0.0419090194436755,0.103719995441302
